run_id,channel,I_set,I_meas_A,B1_mean_T,B1_std_T,golden_B1_mean_T,worst_absdiff_T,worst_order,n_turns
48,V,-1.317,1001.2822404368837,-0.0001377445700215457,1.4538672849014607e-08,-0.00013774457002149003,9.394611824586896e-17,1,10
49,V,0.878,1001.6022728530667,-9.889623087979356e-05,5.338824534518851e-09,-9.889623087979356e-05,2.710505431213761e-19,1,10
50,V,-0.878,1001.7650805883735,-0.00010448773625702584,9.347336694914934e-09,-0.00010448773625698,9.078837941850493e-17,1,10
51,V,0.585,1001.8798913535408,-8.113535892437144e-05,7.211150980719757e-09,-8.113535892437147e-05,3.2526065174565133e-19,1,10
52,V,-0.585,1001.9547432388523,-8.553610096507859e-05,1.0661461059972523e-08,-8.553610096507859e-05,3.5175412513791183e-20,1,10
53,V,0.39,1002.1112278676034,-7.248588216042385e-05,7.0441585982044955e-09,-7.248588216042385e-05,1.3552527156068805e-20,1,10
54,V,-0.39,1002.0411077573893,-7.580263793433454e-05,7.556245129597533e-09,-7.580263793433453e-05,2.913398133814516e-20,1,10
55,V,0.26,1002.0192811284385,-6.877904869987066e-05,5.282671295395718e-09,-6.877904869987067e-05,1.768445975189369e-19,12,10
56,V,-0.26,1001.8296599150372,-7.111605302928686e-05,7.155758267130945e-09,-7.111605302928691e-05,6.505213034913027e-19,1,10
57,V,0.173,1001.5171038125676,-6.733123375823562e-05,5.7989150351479636e-09,-6.733123375823561e-05,2.198282108696424e-19,12,10
